Commodity,State,Units,Year,Value,
Beef and veal,Alabama,Million dollars,2000,38.82495192,
Beef and veal,Alabama,Million dollars,2001,30.46977504,
Beef and veal,Alabama,Million dollars,2002,25.71663995,
Beef and veal,Alabama,Million dollars,2003,36.21606374,
Beef and veal,Alabama,Million dollars,2004,7.9924604,
Beef and veal,Alabama,Million dollars,2005,12.9345456,
Beef and veal,Alabama,Million dollars,2006,16.84042651,
Beef and veal,Alabama,Million dollars,2007,21.44933145,
Beef and veal,Alabama,Million dollars,2008,21.90676799,
Beef and veal,Alabama,Million dollars,2009,21.19407227,
Beef and veal,Alabama,Million dollars,2010,30.84629609,
Beef and veal,Alabama,Million dollars,2011,34.40925422,
Beef and veal,Alabama,Million dollars,2012,42.09007724,
Beef and veal,Alabama,Million dollars,2013,42.75484296,
Beef and veal,Alabama,Million dollars,2014,58.82168268,
Beef and veal,Alabama,Million dollars,2015,45.03071412,
Beef and veal,Alabama,Million dollars,2016,41.85176086,
Beef and veal,Alabama,Million dollars,2017,55.06942516,
Beef and veal,Alabama,Million dollars,2018,65.80812804,
Beef and veal,Alabama,Million dollars,2019,49.28307423,
Beef and veal,Alabama,Million dollars,2020,47.21180206,
Beef and veal,Alabama,Million dollars,2021,64.72376243,
Beef and veal,Alabama,Million dollars,2022,68.23313956,
Broiler meat,Alabama,Million dollars,2000,185.7383111,
Broiler meat,Alabama,Million dollars,2001,216.8696771,
Broiler meat,Alabama,Million dollars,2002,166.2007048,
Broiler meat,Alabama,Million dollars,2003,180.65521,
Broiler meat,Alabama,Million dollars,2004,205.0717404,
Broiler meat,Alabama,Million dollars,2005,244.4179738,
Broiler meat,Alabama,Million dollars,2006,212.4211203,
Broiler meat,Alabama,Million dollars,2007,308.1182585,
Broiler meat,Alabama,Million dollars,2008,407.2895312,
Broiler meat,Alabama,Million dollars,2009,380.155242,
Broiler meat,Alabama,Million dollars,2010,367.9123337,
Broiler meat,Alabama,Million dollars,2011,424.080869,
Broiler meat,Alabama,Million dollars,2012,472.9979226,
Broiler meat,Alabama,Million dollars,2013,491.1566776,
Broiler meat,Alabama,Million dollars,2014,477.8964034,
Broiler meat,Alabama,Million dollars,2015,346.9394288,
Broiler meat,Alabama,Million dollars,2016,314.908949,
Broiler meat,Alabama,Million dollars,2017,347.2585592,
Broiler meat,Alabama,Million dollars,2018,343.3896309,
Broiler meat,Alabama,Million dollars,2019,345.7339872,
Broiler meat,Alabama,Million dollars,2020,340.3620164,
Broiler meat,Alabama,Million dollars,2021,415.6256136,
Broiler meat,Alabama,Million dollars,2022,486.4905091,
Corn,Alabama,Million dollars,2000,5.799446647,
Corn,Alabama,Million dollars,2001,6.487400705,
Corn,Alabama,Million dollars,2002,7.879916477,
Corn,Alabama,Million dollars,2003,9.8930365,
Corn,Alabama,Million dollars,2004,13.49141919,
Corn,Alabama,Million dollars,2005,9.421194804,
Corn,Alabama,Million dollars,2006,8.810300743,
Corn,Alabama,Million dollars,2007,16.92584535,
Corn,Alabama,Million dollars,2008,27.58981489,
Corn,Alabama,Million dollars,2009,24.18898275,
Corn,Alabama,Million dollars,2010,27.0240448,
Corn,Alabama,Million dollars,2011,33.46542367,
Corn,Alabama,Million dollars,2012,25.54305393,
Corn,Alabama,Million dollars,2013,20.48989472,
Corn,Alabama,Million dollars,2014,38.03021666,
Corn,Alabama,Million dollars,2015,26.23411749,
Corn,Alabama,Million dollars,2016,28.64834653,
Corn,Alabama,Million dollars,2017,28.01623395,
Corn,Alabama,Million dollars,2018,41.56202502,
Corn,Alabama,Million dollars,2019,25.76544572,
Corn,Alabama,Million dollars,2020,43.18186857,
Corn,Alabama,Million dollars,2021,74.57437346,
Corn,Alabama,Million dollars,2022,59.01516922,
Cotton,Alabama,Million dollars,2000,74.44564354,
Cotton,Alabama,Million dollars,2001,84.35301646,
Cotton,Alabama,Million dollars,2002,48.42985309,
Cotton,Alabama,Million dollars,2003,154.2331543,
Cotton,Alabama,Million dollars,2004,133.825463,
Cotton,Alabama,Million dollars,2005,161.8748863,
Cotton,Alabama,Million dollars,2006,122.7658218,
Cotton,Alabama,Million dollars,2007,111.2555203,
Cotton,Alabama,Million dollars,2008,104.3240614,
Cotton,Alabama,Million dollars,2009,87.90395016,
Cotton,Alabama,Million dollars,2010,187.7563828,
Cotton,Alabama,Million dollars,2011,315.3774626,
Cotton,Alabama,Million dollars,2012,236.7410241,
Cotton,Alabama,Million dollars,2013,230.5049551,
Cotton,Alabama,Million dollars,2014,186.3130279,
Cotton,Alabama,Million dollars,2015,141.3381171,
Cotton,Alabama,Million dollars,2016,167.2399233,
Cotton,Alabama,Million dollars,2017,208.1194041,
Cotton,Alabama,Million dollars,2018,267.3560225,
Cotton,Alabama,Million dollars,2019,317.7668635,
Cotton,Alabama,Million dollars,2020,270.416431,
Cotton,Alabama,Million dollars,2021,241.0965773,
Cotton,Alabama,Million dollars,2022,363.6268152,
Dairy products,Alabama,Million dollars,2000,2.301391164,
Dairy products,Alabama,Million dollars,2001,2.203654107,
Dairy products,Alabama,Million dollars,2002,1.752674369,
Dairy products,Alabama,Million dollars,2003,1.665699412,
Dairy products,Alabama,Million dollars,2004,2.308743414,
Dairy products,Alabama,Million dollars,2005,2.275173251,
Dairy products,Alabama,Million dollars,2006,2.451332858,
Dairy products,Alabama,Million dollars,2007,3.536705535,
Dairy products,Alabama,Million dollars,2008,4.277368586,
Dairy products,Alabama,Million dollars,2009,2.370576313,
Dairy products,Alabama,Million dollars,2010,3.564378599,
Dairy products,Alabama,Million dollars,2011,4.060794555,
Dairy products,Alabama,Million dollars,2012,3.84971412,
Dairy products,Alabama,Million dollars,2013,4.5722164,
Dairy products,Alabama,Million dollars,2014,4.308424573,
Dairy products,Alabama,Million dollars,2015,2.849863044,
Dairy products,Alabama,Million dollars,2016,2.158514894,
Dairy products,Alabama,Million dollars,2017,2.342158152,
Dairy products,Alabama,Million dollars,2018,1.858072516,
Dairy products,Alabama,Million dollars,2019,1.600725344,
Dairy products,Alabama,Million dollars,2020,1.257164264,
Dairy products,Alabama,Million dollars,2021,1.333832873,
Dairy products,Alabama,Million dollars,2022,1.421324186,
Feeds and other feed grains,Alabama,Million dollars,2000,5.898413212,
Feeds and other feed grains,Alabama,Million dollars,2001,6.918414721,
Feeds and other feed grains,Alabama,Million dollars,2002,6.437470976,
Feeds and other feed grains,Alabama,Million dollars,2003,8.072499843,
Feeds and other feed grains,Alabama,Million dollars,2004,8.691242406,
Feeds and other feed grains,Alabama,Million dollars,2005,9.51466557,
Feeds and other feed grains,Alabama,Million dollars,2006,7.816966086,
Feeds and other feed grains,Alabama,Million dollars,2007,11.43285777,
Feeds and other feed grains,Alabama,Million dollars,2008,15.62395572,
Feeds and other feed grains,Alabama,Million dollars,2009,15.9720659,
Feeds and other feed grains,Alabama,Million dollars,2010,18.9230723,
Feeds and other feed grains,Alabama,Million dollars,2011,19.15171921,
Feeds and other feed grains,Alabama,Million dollars,2012,22.97217016,
Feeds and other feed grains,Alabama,Million dollars,2013,31.55579882,
Feeds and other feed grains,Alabama,Million dollars,2014,39.792831,
Feeds and other feed grains,Alabama,Million dollars,2015,38.24352352,
Feeds and other feed grains,Alabama,Million dollars,2016,29.18364087,
Feeds and other feed grains,Alabama,Million dollars,2017,30.01937222,
Feeds and other feed grains,Alabama,Million dollars,2018,33.54467299,
Feeds and other feed grains,Alabama,Million dollars,2019,29.86662684,
Feeds and other feed grains,Alabama,Million dollars,2020,45.41532862,
Feeds and other feed grains,Alabama,Million dollars,2021,48.28464619,
Feeds and other feed grains,Alabama,Million dollars,2022,43.9749443,
"Fruits, fresh",Alabama,Million dollars,2000,2.241117767,
